targets,open,low,high,close,volume
7.170001983642585,44.32500076293945,44.20500183105469,44.86000061035156,44.2599983215332,130756400.0
7.502502441406257,44.3125,43.29999923706055,44.32500076293945,43.55500030517578,204420400.0
7.7250022888183665,43.62749862670898,42.63249969482422,43.73749923706055,42.77750015258789,166116000.0
8.052501678466804,42.540000915527344,41.76750183105469,42.540000915527344,41.9900016784668,202561600.0
8.722499847412116,41.38249969482422,41.17499923706055,41.84249877929688,41.74250030517578,184192800.0
8.722499847412116,41.71749877929688,41.625,42.11000061035156,41.85749816894531,129915600.0
8.722499847412116,41.79249954223633,41.68999862670898,42.15499877929688,41.94499969482422,188923200.0
8.722499847412116,41.5,40.025001525878906,41.70000076293945,40.125,346375200.0
8.722499847412116,39.775001525878906,39.0,40.970001220703125,39.122501373291016,290954000.0
8.722499847412116,38.70750045776367,38.5,40.93000030517578,40.75749969482422,272975200.0
8.722499847412116,40.772499084472656,39.76750183105469,40.84999847412109,39.8849983215332,206434400.0
8.722499847412116,40.0724983215332,38.75749969482422,40.25,38.78749847412109,217562000.0
8.722499847412116,39.26750183105469,37.560001373291016,39.47249984741211,39.102500915527344,282690400.0
8.722499847412116,40.48749923706055,40.41249847412109,41.1875,41.084999084472656,130196800.0
8.722499847412116,40.7599983215332,40.720001220703125,41.8849983215332,41.84249877929688,162579600.0
8.722499847412116,42.4474983215332,42.25,43.272499084472656,43.247501373291016,204588800.0
8.722499847412116,43.09000015258789,42.942501068115234,43.70500183105469,43.10749816894531,160704400.0
8.722499847412116,43.20750045776367,42.75249862670898,43.52999877929688,42.76750183105469,149886400.0
8.722499847412116,42.95000076293945,42.9275016784668,43.48749923706055,43.125,123967600.0
8.772502899169929,43.41749954223633,43.3849983215332,43.91249847412109,43.875,135249600.0
9.170001983642585,44.087501525878906,44.0525016784668,44.84749984741211,44.74250030517578,152648800.0
9.224998474121094,44.775001525878906,44.540000915527344,45.119998931884766,44.59749984741211,155712400.0
7.759998321533203,44.81499862670898,44.51250076293945,45.15499877929688,44.52999877929688,151128400.0
7.759998321533203,44.6349983215332,43.165000915527344,44.94499969482422,43.75,195208000.0
7.759998321533203,43.8025016784668,43.630001068115234,44.435001373291016,44.20500183105469,113605600.0
7.759998321533203,44.477500915527344,44.032501220703125,44.5625,44.16749954223633,95154000.0
7.759998321533203,43.73500061035156,43.567501068115234,43.962501525878906,43.75749969482422,126814000.0
7.759998321533203,43.869998931884766,43.76750183105469,44.27999877929688,44.23500061035156,95096400.0
7.759998321533203,44.4900016784668,44.34749984741211,45.0,44.994998931884766,128740800.0
7.759998321533203,45.0724983215332,45.0525016784668,45.59749984741211,45.43000030517578,128828400.0
7.759998321533203,45.647499084472656,44.810001373291016,45.875,44.99250030517578,126774000.0
7.759998321533203,45.08000183105469,44.45249938964844,45.130001068115234,44.61000061035156,117473600.0
7.759998321533203,44.625,44.51750183105469,45.060001373291016,44.66249847412109,90975200.0
7.759998321533203,44.66249847412109,44.40499877929688,44.77999877929688,44.505001068115234,157618800.0
7.759998321533203,44.33000183105469,43.415000915527344,44.36750030517578,43.82500076293945,133787200.0
7.759998321533203,43.810001373291016,43.73500061035156,44.20000076293945,43.810001373291016,78597600.0
7.759998321533203,43.7599983215332,42.81499862670898,43.772499084472656,42.817501068115234,148219600.0
7.759998321533203,42.5,42.150001525878906,43.16999816894531,42.212501525878906,165963200.0
7.759998321533203,42.09749984741211,41.23500061035156,42.47999954223633,41.23500061035156,164115200.0
7.759998321533203,42.01750183105469,41.61000061035156,43.275001525878906,43.192501068115234,150164800.0
7.759998321533203,43.41999816894531,41.72999954223633,43.78749847412109,42.084999084472656,163690400.0
7.759998321533203,41.8125,41.29750061035156,42.505001068115234,41.619998931884766,166674000.0
7.759998321533203,41.95249938964844,41.72499847412109,42.9375,41.94499969482422,153594000.0
7.759998321533203,41.65999984741211,41.11750030517578,42.23500061035156,41.66999816894531,150347200.0
7.759998321533203,41.90999984741211,41.220001220703125,42.1875,42.09749984741211,121112000.0
7.759998321533203,41.220001220703125,41.192501068115234,43.00249862670898,42.90250015258789,138422000.0
7.759998321533203,43.14500045776367,43.02000045776367,43.557498931884766,43.20000076293945,107732800.0
7.759998321533203,42.74250030517578,42.04999923706055,43.119998931884766,42.095001220703125,140021200.0
7.759998321533203,42.470001220703125,42.462501525878906,43.272499084472656,42.51250076293945,116070800.0
7.759998321533203,43.25,42.88249969482422,43.5,43.3125,113634400.0
7.759998321533203,43.057498931884766,42.92499923706055,43.47999954223633,43.11000061035156,89726400.0
7.759998321533203,43.352500915527344,43.2599983215332,43.75,43.53499984741211,91557200.0
7.759998321533203,43.69499969482422,43.462501525878906,43.959999084472656,43.682498931884766,100497200.0
7.759998321533203,43.75749969482422,43.70750045776367,44.04750061035156,43.95500183105469,86313600.0
7.759998321533203,44.122501373291016,44.102500915527344,44.73500061035156,44.560001373291016,106421600.0
7.759998321533203,44.45249938964844,44.220001220703125,44.70500183105469,44.459999084472656,83018000.0
7.817501068115234,43.43999862670898,43.165000915527344,43.84749984741211,43.20000076293945,139235200.0
7.817501068115234,42.650001525878906,41.35749816894531,42.80500030517578,41.43000030517578,261964400.0
7.817501068115234,41.70750045776367,41.022499084472656,41.72999954223633,41.310001373291016,146062000.0
7.817501068115234,41.41749954223633,40.30500030517578,41.58250045776367,40.73500061035156,134768000.0
9.639999389648438,40.65499877929688,40.602500915527344,41.35499954223633,40.91249847412109,113528400.0
11.112499237060547,41.02999877929688,40.84249877929688,41.432498931884766,41.05500030517578,111852000.0
11.262500762939453,40.532501220703125,40.459999084472656,41.81499862670898,41.31499862670898,169709600.0
11.532501220703125,41.602500915527344,41.317501068115234,42.29999923706055,42.275001525878906,214277600.0
11.532501220703125,43.807498931884766,43.45000076293945,44.4375,44.14250183105469,266157600.0
11.532501220703125,43.970001220703125,43.61000061035156,44.375,44.22249984741211,136272800.0
11.532501220703125,44.5625,44.54249954223633,46.0625,45.95750045776367,224805200.0
11.532501220703125,46.29499816894531,46.1875,46.91749954223633,46.290000915527344,169805600.0
11.532501220703125,46.247501373291016,45.91749954223633,46.55500030517578,46.51250076293945,113611200.0
